,NAME,STATION_ID,NUM_EBIKES_AVAILABLE,CAPACITY,LATITUDE,LONGITUDE
54,8th & V St NW,3900eddf-b06d-4763-af70-1126603508d0,0,19,38.917716,-77.022684
55,8th & Eye St SE / Barracks Row,08249671-1f3f-11e7-bf6b-3863bb334450,0,11,38.8792,-76.9953
56,West Hyattsville Metro,cdaa435b-2b99-442a-a274-d6682067ad88,6,17,38.955349,-76.968084
57,Woodmont Ave & Strathmore St,0826190f-1f3f-11e7-bf6b-3863bb334450,6,11,38.979875,-77.093522
58,N Pitt St & Montgomery St,1e196ee1-daa4-4fa6-b6f8-197b31e6d170,1,15,38.814031,-77.042817
59,Wilson Blvd & N Franklin Rd,0824fb6c-1f3f-11e7-bf6b-3863bb334450,2,12,38.8904,-77.0889
60,TJ Cmty Ctr / 2nd St & S Old Glebe Rd,0825bfcd-1f3f-11e7-bf6b-3863bb334450,3,15,38.869418,-77.095596
61,Ridge Heights Rd & Seahawks Dr,071dcbf5-3f1e-45e0-a4a5-8717adb8743f,2,12,38.936061,-77.337775
62,University Dr & Democracy Ln,1875304680551764838,0,12,38.849411,-77.304435
63,Crystal City Metro / 18th St & S Bell St,08246f1f-1f3f-11e7-bf6b-3863bb334450,2,19,38.857785,-77.051698
64,Metro Center / 12th & G St NW,0824c604-1f3f-11e7-bf6b-3863bb334450,14,39,38.898326,-77.027959
65,Virginia Ave & C St NW,0824f16b-1f3f-11e7-bf6b-3863bb334450,0,15,38.894112,-77.044334
66,Town Center Pkwy & Bowman Towne Dr,08263885-1f3f-11e7-bf6b-3863bb334450,0,11,38.962524,-77.361902
67,Madrillon Rd & Boss St,5017ea72-2248-4ba8-af83-d9c9718b51e0,1,12,38.910016,-77.226266
68,4th & G St SW,3f177fa3-6267-4138-82b3-6b528d71d3b2,0,19,38.881117,-77.017699
69,9th & G St NW,a10f8bfa-1324-411c-b358-3fbd94eff32b,1,15,38.898097,-77.023924
70,9th St & Pennsylvania Ave NW,5d8b76d9-ae82-464b-87f1-37553a9fec6c,3,27,38.89428,-77.023979
71,11th & Girard St NW,cd1394fa-9d06-4665-bd1c-d7580d97a550,0,19,38.925636,-77.027112
72,Rosslyn Metro / Wilson Blvd & N Moore St,472d3644-c8f4-4912-ad84-79f11cee2e49,0,21,38.896087,-77.071452
